Code secteur;Libelle secteur;Code site;Libelle site;Code batiment;Libelle batiment;Lattitude/longitude;Adresse numero;Adresse rue;Adresse code postal;Adresse ville;Code salle;Libellé salle;Numero piece
17;TALENCE;1;PEIXOTTO;A02;Bâtiment A02;44.808161/-0.591959;351;cours de la libération;33405;TALENCE;225;Salle TP;
5;BORDEAUX ;23;CARREIRE;218;Pharma 1;44.826435/-0.605938;146;Léo Saignat;33076;BORDEAUX;225;Salle TP;
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;225;Salle de cours;23
17;TALENCE;1;PEIXOTTO;A02;Bâtiment A02;44.808161/-0.591959;351;cours de la libération;33405;TALENCE;226;Salle TP;
17;TALENCE;1;PEIXOTTO;A01;Bâtiment A01;44.808524/-0.592029;351;cours de la libération;33405;TALENCE;227;Salle TP;
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;227;Salle informatique;Salle 29
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;228;Salle de cours;228
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;229;Salle informatique;Salle 29
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;229;Salle de cours;229
17;TALENCE;1;PEIXOTTO;A01;Bâtiment A01;44.808524/-0.592029;351;cours de la libération;33405;TALENCE;230;Salle TP;
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;230;Salle de cours;230
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;230;Salle informatique;21
5;BORDEAUX ;23;CARREIRE;218;Pharma 1;44.826435/-0.605938;146;Léo Saignat;33076;BORDEAUX;230;Salle de cours;
5;BORDEAUX ;23;CARREIRE;218;Pharma 1;44.826435/-0.605938;146;Léo Saignat;33076;BORDEAUX;231;Salle de cours;
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;231;Salle informatique;Salle 29
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;232;Salle TP;20
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;233;Salle TP;20
17;TALENCE;1;PEIXOTTO;A01;Bâtiment A01;44.808524/-0.592029;351;cours de la libération;33405;TALENCE;235;Salle TD;
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;243;Salle de cours;243
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;244;Salle de cours;244
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;249;Salle informatique;249
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;250;Salle informatique;250
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;251;Salle informatique;251
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;252;Salle informatique;252
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;257;Salle informatique;257
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;262;Salle informatique;262
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;265;Salle informatique;265
5;BORDEAUX ;23;CARREIRE;214;Bâtiment ED;44.824678/-0.606866;146;Léo Saignat;33076;BORDEAUX;266;Salle informatique;266
1;AGEN;11;CAMPUS MICHEL SERRES;K2;IUT - GACO;44.185162/0.624881;1;campus Michel Serres;47000;AGEN;29;Salle de cours;1
1;AGEN;11;CAMPUS MICHEL SERRES;K2;IUT - GACO;44.185162/0.624881;1;campus Michel Serres;47000;AGEN;3;Salle TD;13
5;BORDEAUX ;23;CARREIRE;223;Zone Nord A;44.827917/-0.607231;146;Léo Saignat;33076;BORDEAUX;3A-129;Salle de cours;
5;BORDEAUX ;23;CARREIRE;223;Zone Nord A;44.827917/-0.607231;146;Léo Saignat;33076;BORDEAUX;3A-130;Salle de cours;
5;BORDEAUX ;23;CARREIRE;223;Zone Nord A;44.827917/-0.607231;146;Léo Saignat;33076;BORDEAUX;3A-131;Salle de cours;
5;BORDEAUX ;23;CARREIRE;223;Zone Nord A;44.827917/-0.607231;146;Léo Saignat;33076;BORDEAUX;3A-132;Salle de cours;
5;BORDEAUX ;23;CARREIRE;223;Zone Nord A;44.827917/-0.607231;146;Léo Saignat;33076;BORDEAUX;3A-337;Salle de cours;
5;BORDEAUX ;23;CARREIRE;223;Zone Nord A;44.827917/-0.607231;146;Léo Saignat;33076;BORDEAUX;3A-345;Salle de cours;
5;BORDEAUX ;23;CARREIRE;224;Zone Nord B;44.827124/-0.607162;146;Léo Saignat;33076;BORDEAUX;3B-017;Salle de cours;
5;BORDEAUX ;23;CARREIRE;224;Zone Nord B;44.827124/-0.607162;146;Léo Saignat;33076;BORDEAUX;3B-020;Salle de cours;
5;BORDEAUX ;23;CARREIRE;224;Zone Nord B;44.827124/-0.607162;146;Léo Saignat;33076;BORDEAUX;3B-021;Salle de cours;
15;PERIGUEUX;22;CAMPUS PERIGORD;B;Bâtiment B;45.196442/0.720017;39;rue Paul Mazy;24019;PERIGUEUX;300;Amphithéâtre;Salle Corail
5;BORDEAUX ;24;LA VICTOIRE;B2;Bâtiment Broca 2;44.831614/-0.571491;18  34;Paul Broca;33076;BORDEAUX;301;Salle de cours;0
5;BORDEAUX ;24;LA VICTOIRE;G;Bâtiment G;44.831193/-0.570374;3 ter;place de la Victoire;33076;BORDEAUX;301;Salle de cours;
12;MERIGNAC;18;INSPE MERIGNAC;E;Bâtiment E;44.838471/-0.630325;160;avenue de Verdun;33700;MERIGNAC;301;Salle de cours;301
8;GRADIGNAN;5;ROCQUENCOURT;E06;Bâtiment 6AB MP;44.790756/-0.611779;15;rue Naudet;33175;GRADIGNAN;301;Salle TP;301
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;301;Salle de cours;
5;BORDEAUX ;16;INSPE CAUDERAN;C;Bâtiment Condorcet (bat 5);44.847846/-0.600809;49;rue de l'école Normale;33000;BORDEAUX;302;Salle informatique;531
